age,income,score,height,color,city,education,satisfaction,purchased
32.0,30086.0,22.56,172.2,Red,NY,High School,Very Satisfied,No
79.0,113893.0,24.41,,Green,NY,Bachelors,Satisfied,No
79.0,60544.0,41.09,187.2,Green,LA,High School,Very Unsatisfied,Yes
64.0,112398.0,45.07,170.6,Blue,HOU,PhD,Unsatisfied,No
79.0,139258.0,,181.9,Black,HOU,Masters,Satisfied,Yes
68.0,38955.0,62.09,149.0,Yellow,NY,Bachelors,Very Satisfied,No
61.0,67660.0,58.58,151.3,,CHI,PhD,Very Satisfied,No
72.0,,40.92,173.4,,CHI,PhD,Unsatisfied,Yes
69.0,,41.55,173.4,Red,HOU,High School,Unsatisfied,No
74.0,91168.0,39.91,169.0,Red,LA,High School,Very Unsatisfied,No
20.0,99236.0,71.04,159.7,Black,LA,Masters,Very Satisfied,No
54.0,,40.69,174.0,Yellow,LA,PhD,Unsatisfied,Yes
68.0,70385.0,27.96,167.8,,HOU,Masters,,No
24.0,105045.0,47.43,162.9,Green,LA,High School,,Yes
38.0,,73.36,173.4,Blue,DAL,Bachelors,Very Unsatisfied,No
26.0,50871.0,48.97,159.4,Red,HOU,Masters,Unsatisfied,No
56.0,22457.0,49.11,174.0,Red,DAL,PhD,Satisfied,Yes
35.0,,30.12,171.9,Green,,Bachelors,Unsatisfied,Yes
21.0,96732.0,58.12,156.5,Green,LA,Bachelors,Very Satisfied,No
42.0,98375.0,64.92,176.7,Blue,HOU,Bachelors,Satisfied,
77.0,59467.0,47.34,159.9,Black,NY,Masters,Very Satisfied,Yes
31.0,,61.18,165.2,Red,DAL,PhD,Neutral,
67.0,93995.0,5.0,156.4,Green,NY,Masters,,No
75.0,27157.0,74.03,161.2,Black,HOU,,Very Satisfied,No
26.0,130357.0,,,Yellow,HOU,Masters,,Yes
43.0,,39.59,172.4,Blue,LA,Bachelors,Unsatisfied,Yes
70.0,106466.0,,151.3,Red,CHI,,,No
19.0,47217.0,82.62,159.6,,CHI,PhD,Very Unsatisfied,No
37.0,60132.0,,164.1,Black,HOU,Bachelors,Very Unsatisfied,No
45.0,116653.0,55.65,160.1,Yellow,NY,Bachelors,Neutral,No
64.0,,,177.8,Red,DAL,Bachelors,Very Satisfied,No
77.0,76371.0,41.76,,Blue,NY,Masters,Neutral,Yes
24.0,130302.0,,157.7,Blue,LA,PhD,Satisfied,No
61.0,76788.0,61.31,154.5,Green,HOU,,Very Satisfied,Yes
78.0,29583.0,44.74,176.3,Red,CHI,Bachelors,Neutral,No
25.0,109461.0,,190.5,Red,NY,Masters,Satisfied,No
64.0,62042.0,66.05,184.6,Blue,HOU,High School,Satisfied,Yes
52.0,110405.0,61.35,169.8,Blue,DAL,High School,Neutral,Yes
31.0,97807.0,43.42,167.2,Green,HOU,Masters,Very Unsatisfied,Yes
34.0,88371.0,57.61,177.0,Black,HOU,Masters,Unsatisfied,No
53.0,28013.0,61.08,,Blue,DAL,PhD,Unsatisfied,No
67.0,142643.0,38.86,166.5,Black,LA,High School,Unsatisfied,No
57.0,98775.0,,180.9,Blue,,Masters,Neutral,Yes
21.0,49540.0,,157.2,Black,LA,,Very Unsatisfied,No
19.0,,61.43,163.6,Yellow,CHI,Bachelors,,Yes
79.0,,56.07,180.1,Blue,NY,Bachelors,Very Unsatisfied,Yes
23.0,87690.0,55.96,167.9,Green,NY,PhD,Satisfied,Yes
71.0,,43.68,163.1,,LA,,Very Unsatisfied,
59.0,128840.0,,152.2,,DAL,Bachelors,Satisfied,No
21.0,89459.0,57.54,168.9,Black,NY,PhD,,No
71.0,51558.0,39.74,177.1,Red,LA,Bachelors,,Yes
46.0,128350.0,43.16,,Blue,NY,Bachelors,Very Unsatisfied,Yes
35.0,108004.0,22.78,173.6,Blue,LA,Bachelors,Very Satisfied,Yes
43.0,60030.0,41.21,186.6,Blue,NY,,Satisfied,Yes
61.0,56636.0,,179.2,Red,NY,PhD,,Yes
51.0,89326.0,35.29,167.8,Blue,NY,High School,Unsatisfied,Yes
27.0,129528.0,36.54,,Red,HOU,Bachelors,Very Unsatisfied,Yes
79.0,110956.0,51.3,174.4,Red,CHI,Bachelors,Very Satisfied,Yes
,79051.0,58.05,159.5,Blue,LA,Bachelors,Very Satisfied,Yes
31.0,,58.29,183.0,Yellow,CHI,High School,Satisfied,Yes
48.0,83566.0,,186.7,Red,NY,High School,Very Satisfied,Yes
65.0,71159.0,65.12,171.0,Blue,NY,PhD,Satisfied,
32.0,86809.0,68.7,,Black,LA,Masters,Unsatisfied,No
25.0,76025.0,47.49,179.0,Red,DAL,High School,Neutral,No
31.0,147314.0,43.13,179.2,Red,DAL,Bachelors,Satisfied,
40.0,46680.0,,174.2,Green,NY,Bachelors,Unsatisfied,Yes
77.0,129463.0,28.44,,Blue,LA,High School,,No
74.0,,48.62,151.2,,HOU,Masters,Very Unsatisfied,Yes
79.0,82185.0,37.31,173.3,Red,LA,Masters,Very Satisfied,No
57.0,66096.0,38.13,170.5,Blue,DAL,PhD,Very Satisfied,No
38.0,67471.0,41.95,170.9,Red,LA,High School,Neutral,Yes
33.0,,60.56,174.1,Black,DAL,Masters,Unsatisfied,No
62.0,94940.0,,160.9,Red,DAL,Masters,Neutral,
35.0,60579.0,61.62,165.3,Green,HOU,Masters,Very Unsatisfied,
64.0,,22.16,184.6,Red,DAL,High School,Very Unsatisfied,Yes
70.0,95925.0,46.74,166.6,Yellow,HOU,Masters,Neutral,No
41.0,114921.0,40.31,,Red,HOU,High School,Very Unsatisfied,No
43.0,80628.0,34.6,160.8,Yellow,,Bachelors,Very Satisfied,Yes
42.0,120568.0,47.31,,Black,HOU,PhD,Neutral,No
77.0,,39.13,,,DAL,,Very Satisfied,Yes
77.0,116925.0,37.84,,Red,LA,High School,Satisfied,Yes
77.0,133500.0,60.3,171.5,Black,HOU,Bachelors,Satisfied,Yes
62.0,103530.0,52.78,183.4,Blue,HOU,Bachelors,Very Unsatisfied,No
58.0,29610.0,74.38,167.7,Red,NY,High School,Very Unsatisfied,Yes
,103706.0,31.63,160.9,Blue,DAL,,Neutral,Yes
32.0,73551.0,28.26,,Blue,DAL,Masters,Neutral,No
62.0,33869.0,,184.3,Red,DAL,Masters,Very Satisfied,No
18.0,105402.0,42.56,151.5,Yellow,CHI,PhD,Satisfied,No
42.0,108466.0,59.81,168.4,Red,CHI,Bachelors,,Yes
24.0,95605.0,56.25,168.7,Blue,NY,High School,Very Satisfied,Yes
26.0,129403.0,58.82,,Blue,LA,PhD,Very Unsatisfied,No
41.0,68954.0,,173.7,Red,DAL,Bachelors,Satisfied,No
18.0,94107.0,46.09,173.3,Red,NY,Bachelors,Very Satisfied,Yes
61.0,42979.0,21.59,171.3,Black,,Bachelors,Very Unsatisfied,No
25.0,31492.0,65.94,,Black,NY,Bachelors,Neutral,No
41.0,135381.0,37.5,180.0,Yellow,HOU,Bachelors,Unsatisfied,Yes
28.0,80920.0,49.55,167.2,Red,CHI,PhD,Unsatisfied,Yes
68.0,,,154.3,Black,LA,,Satisfied,Yes
34.0,132784.0,37.76,170.7,Black,NY,High School,Very Unsatisfied,No
25.0,114257.0,45.33,,Green,NY,High School,Neutral,Yes
52.0,144327.0,48.31,177.7,Black,HOU,,Satisfied,Yes
52.0,,51.34,164.4,Yellow,NY,Bachelors,Satisfied,No
50.0,,,171.4,Yellow,NY,,Satisfied,
76.0,43409.0,65.59,166.4,,LA,,Very Satisfied,Yes
22.0,136443.0,,175.5,Green,LA,,Very Satisfied,Yes
59.0,85162.0,,173.7,Blue,LA,Masters,Very Unsatisfied,Yes
56.0,92569.0,40.5,148.6,,NY,,Neutral,No
75.0,44077.0,45.85,167.7,Green,NY,Masters,Very Satisfied,No
58.0,,,155.3,,CHI,High School,Very Unsatisfied,Yes
45.0,,55.16,174.9,,DAL,High School,Very Unsatisfied,Yes
24.0,47385.0,,180.2,Green,CHI,Masters,Satisfied,Yes
26.0,20847.0,47.94,171.6,Red,LA,High School,Very Unsatisfied,No
25.0,96699.0,63.05,170.3,Green,NY,Masters,,No
29.0,73213.0,,179.1,Red,DAL,Bachelors,Unsatisfied,Yes
51.0,135883.0,,,Blue,HOU,High School,Satisfied,Yes
50.0,29704.0,41.69,170.5,Yellow,NY,High School,Very Unsatisfied,No
65.0,64862.0,51.78,179.8,,NY,,Unsatisfied,Yes
72.0,140166.0,48.94,,Green,CHI,High School,,No
40.0,,,168.5,Blue,CHI,,Satisfied,
79.0,91868.0,76.02,176.3,Black,DAL,Masters,Very Unsatisfied,No
41.0,,39.96,181.0,Green,NY,Masters,Very Satisfied,No
54.0,,,170.8,Green,DAL,Masters,,Yes
52.0,51793.0,,154.2,Red,DAL,High School,Neutral,Yes
61.0,105240.0,,170.2,Red,DAL,PhD,,No
57.0,104377.0,,166.3,Yellow,HOU,High School,Unsatisfied,No
39.0,113574.0,56.22,174.7,Yellow,CHI,,Very Satisfied,Yes
44.0,23450.0,,178.2,Yellow,LA,Bachelors,Unsatisfied,Yes
52.0,28418.0,40.43,159.7,Black,DAL,PhD,Very Unsatisfied,Yes
18.0,68718.0,38.54,181.6,Blue,DAL,High School,Satisfied,Yes
52.0,54575.0,53.81,,Black,LA,Bachelors,,No
54.0,130804.0,20.1,173.7,Green,HOU,,Very Satisfied,Yes
64.0,117260.0,60.02,142.8,Yellow,NY,High School,Satisfied,Yes
31.0,134009.0,46.16,188.5,Green,CHI,Bachelors,Very Unsatisfied,Yes
20.0,53186.0,39.01,164.2,Yellow,HOU,Masters,Very Unsatisfied,No
18.0,134426.0,41.73,,Black,HOU,High School,Satisfied,No
22.0,46451.0,46.53,170.0,Green,LA,,Satisfied,No
43.0,23155.0,43.79,182.3,Blue,CHI,High School,Satisfied,No
72.0,,70.81,173.1,Blue,,Masters,Unsatisfied,Yes
31.0,,32.74,175.8,Red,CHI,PhD,Satisfied,No
56.0,49448.0,35.75,195.4,Green,DAL,High School,Neutral,No
44.0,146934.0,,181.2,Blue,LA,Bachelors,Very Unsatisfied,Yes
26.0,148529.0,,153.4,Blue,NY,High School,Very Satisfied,No
32.0,149244.0,44.34,160.6,Yellow,DAL,,Unsatisfied,Yes
32.0,118122.0,,,Yellow,DAL,Masters,Neutral,No
43.0,105738.0,51.17,179.0,Red,DAL,PhD,Unsatisfied,No
59.0,65231.0,60.06,167.6,Red,CHI,Masters,Very Satisfied,No
77.0,,59.21,167.3,Red,DAL,Masters,Very Unsatisfied,No
30.0,40058.0,29.93,177.4,Blue,NY,PhD,Very Unsatisfied,No
68.0,,59.2,163.0,Green,LA,,Unsatisfied,Yes
49.0,90166.0,43.3,157.5,Red,HOU,Masters,Very Satisfied,No
56.0,92404.0,,171.7,Green,DAL,High School,,No
66.0,123817.0,64.09,,Blue,NY,PhD,Very Unsatisfied,Yes
69.0,120133.0,,156.8,Green,CHI,,Unsatisfied,Yes
78.0,,29.47,190.6,,HOU,High School,Very Satisfied,No
49.0,,65.29,177.3,Yellow,DAL,High School,Neutral,Yes
21.0,65379.0,,184.4,Black,,High School,,
47.0,110196.0,40.32,179.7,Yellow,NY,,,Yes
54.0,117275.0,36.11,163.6,Yellow,HOU,Bachelors,,No
40.0,23812.0,46.74,170.8,Black,CHI,PhD,,Yes
56.0,37270.0,39.09,180.9,Black,LA,Bachelors,Very Satisfied,Yes
62.0,43978.0,34.74,174.8,,HOU,High School,Very Satisfied,Yes
32.0,31531.0,56.6,,Black,LA,High School,Very Unsatisfied,No
60.0,48783.0,59.6,189.1,Blue,,Masters,Very Unsatisfied,Yes
46.0,,,,Yellow,DAL,,Neutral,No
53.0,33236.0,55.43,150.6,,DAL,PhD,Neutral,No
30.0,,,155.9,Green,LA,,Satisfied,No
49.0,50093.0,49.68,174.9,Black,NY,Bachelors,,Yes
24.0,89683.0,49.95,175.9,Yellow,CHI,Masters,Neutral,No
76.0,38515.0,48.72,163.4,,CHI,Masters,Satisfied,Yes
68.0,113806.0,50.6,155.5,Red,CHI,PhD,Very Unsatisfied,Yes
39.0,22759.0,49.15,,Blue,HOU,PhD,Unsatisfied,Yes
45.0,129274.0,22.99,189.3,Blue,HOU,High School,Very Unsatisfied,No
19.0,45316.0,54.42,169.1,Green,HOU,Bachelors,Unsatisfied,Yes
59.0,88412.0,40.12,154.2,Green,CHI,PhD,Very Unsatisfied,Yes
62.0,65480.0,,157.2,Yellow,DAL,PhD,Satisfied,Yes
79.0,33332.0,28.86,159.6,Green,LA,PhD,Very Satisfied,No
74.0,95439.0,,170.5,,DAL,Bachelors,Satisfied,Yes
70.0,69207.0,75.01,168.7,Red,CHI,,Satisfied,No
23.0,121666.0,40.77,160.9,Red,LA,Masters,Very Satisfied,Yes
45.0,63819.0,42.14,178.8,,LA,PhD,Very Satisfied,No
45.0,78150.0,64.09,166.7,Blue,CHI,Masters,,No
61.0,137744.0,62.6,177.6,Blue,HOU,,,
61.0,73902.0,40.99,172.7,Yellow,CHI,High School,Very Unsatisfied,
37.0,29198.0,34.85,158.6,Red,CHI,High School,Very Satisfied,No
47.0,123307.0,,167.3,Red,NY,Bachelors,,No
79.0,35732.0,,161.4,Blue,LA,Bachelors,Very Satisfied,No
28.0,126209.0,40.85,172.0,Black,HOU,High School,Satisfied,No
75.0,,71.75,154.1,,NY,Masters,Unsatisfied,No
72.0,75419.0,43.76,188.5,Blue,LA,High School,Satisfied,Yes
45.0,21781.0,39.15,180.1,Blue,DAL,PhD,Satisfied,No
42.0,98948.0,,148.8,Yellow,NY,Bachelors,,Yes
56.0,70141.0,,161.2,Green,DAL,Bachelors,Satisfied,Yes
79.0,,,144.8,Green,HOU,Bachelors,Neutral,Yes
50.0,81277.0,0.96,171.0,Blue,CHI,Masters,,No
18.0,129660.0,31.22,148.9,Yellow,,High School,Neutral,No
74.0,76704.0,49.08,184.8,Red,HOU,PhD,Satisfied,No
44.0,51485.0,67.45,172.7,Blue,,,,Yes
79.0,74351.0,58.95,169.8,Yellow,LA,Bachelors,Unsatisfied,No
74.0,,68.48,165.8,Blue,CHI,High School,Satisfied,No
69.0,46654.0,47.91,151.2,Green,NY,High School,Satisfied,No
30.0,53145.0,80.62,161.9,Green,HOU,,Satisfied,Yes
,71529.0,25.02,,Green,NY,Masters,Satisfied,Yes
20.0,124349.0,,155.4,Red,CHI,,Very Unsatisfied,No
56.0,66378.0,62.19,163.9,,DAL,Bachelors,Very Unsatisfied,Yes
23.0,,52.19,153.2,Black,LA,High School,,Yes
,82475.0,36.98,174.9,,HOU,Bachelors,Satisfied,No
44.0,98462.0,54.21,182.4,,DAL,Bachelors,,Yes
26.0,104839.0,40.71,140.5,Black,NY,Masters,Very Satisfied,No
79.0,67802.0,,180.4,Yellow,NY,High School,Unsatisfied,
54.0,97892.0,78.26,161.7,Black,DAL,Masters,,Yes
50.0,,65.08,163.8,,DAL,High School,Very Satisfied,Yes
68.0,56362.0,59.36,166.6,Black,LA,High School,,Yes
59.0,,58.35,153.9,Blue,CHI,,Very Unsatisfied,Yes
61.0,67126.0,33.13,,Black,LA,PhD,Satisfied,Yes
41.0,98160.0,35.51,191.4,Red,NY,High School,Very Unsatisfied,No
32.0,,59.12,173.7,Green,HOU,,,Yes
76.0,113004.0,64.15,179.4,Blue,LA,Bachelors,Very Satisfied,No
71.0,116464.0,64.62,182.6,Red,DAL,,Unsatisfied,Yes
49.0,110326.0,42.91,190.0,,CHI,High School,,No
49.0,41114.0,36.69,167.7,Blue,NY,,Neutral,Yes
,114630.0,56.33,176.4,Blue,NY,,Very Satisfied,Yes
58.0,22120.0,,175.9,Black,HOU,High School,Satisfied,No
69.0,130289.0,42.9,174.3,Black,CHI,Bachelors,Satisfied,Yes
66.0,121174.0,66.96,166.8,Black,DAL,Bachelors,Unsatisfied,Yes
79.0,20785.0,41.44,162.4,,CHI,Masters,,Yes
66.0,,,181.9,Red,CHI,Masters,Unsatisfied,No
75.0,86473.0,18.7,165.9,Red,CHI,,,Yes
69.0,148747.0,46.73,164.7,Red,LA,Bachelors,Satisfied,No
29.0,128185.0,33.0,167.7,Yellow,DAL,Masters,Very Unsatisfied,No
79.0,49969.0,20.46,160.4,Blue,HOU,Bachelors,Neutral,Yes
56.0,85236.0,,163.9,Red,DAL,,Satisfied,No
19.0,,48.22,170.0,Green,NY,,Neutral,No
20.0,127752.0,44.6,143.8,Yellow,HOU,High School,,Yes
66.0,121416.0,,168.0,,HOU,PhD,Very Unsatisfied,Yes
54.0,36297.0,57.51,156.8,,HOU,Masters,Very Unsatisfied,No
66.0,42816.0,55.45,182.0,Black,DAL,Bachelors,Neutral,Yes
73.0,141386.0,49.12,163.6,Yellow,NY,Masters,Very Unsatisfied,Yes
34.0,125741.0,54.82,,Yellow,,High School,Very Unsatisfied,Yes
76.0,90070.0,28.24,166.7,Yellow,LA,,Unsatisfied,Yes
66.0,29529.0,,163.1,Green,DAL,High School,Neutral,Yes
19.0,42013.0,33.35,173.7,,LA,High School,Very Unsatisfied,Yes
19.0,50089.0,50.17,182.9,Green,HOU,Bachelors,Satisfied,No
45.0,26171.0,,169.3,Red,HOU,Masters,Very Unsatisfied,No
71.0,61229.0,74.76,169.7,Green,DAL,High School,,Yes
40.0,37874.0,56.18,166.0,Red,LA,PhD,Very Satisfied,No
54.0,58809.0,25.48,176.1,,CHI,Bachelors,Unsatisfied,Yes
49.0,79465.0,54.74,151.1,Blue,LA,Masters,,No
50.0,79024.0,61.67,157.6,Black,LA,Bachelors,,No
18.0,41153.0,,,Blue,CHI,Bachelors,Satisfied,No
36.0,,45.24,187.0,Red,CHI,,Very Satisfied,No
,48429.0,63.63,165.8,Yellow,LA,,Very Unsatisfied,No
19.0,,47.69,179.3,,LA,High School,,No
70.0,26641.0,51.49,164.7,Yellow,NY,PhD,Very Unsatisfied,No
61.0,62401.0,44.47,172.7,Blue,HOU,,Unsatisfied,No
43.0,109075.0,66.61,173.0,Green,HOU,PhD,Unsatisfied,Yes
,,27.3,157.4,,HOU,Masters,,
23.0,45367.0,,,Blue,NY,Masters,Neutral,No
49.0,41726.0,42.76,161.9,Green,HOU,Bachelors,Very Unsatisfied,No
72.0,135047.0,,167.3,Green,DAL,Masters,Unsatisfied,
21.0,24677.0,32.61,174.9,Blue,,High School,Neutral,No
72.0,,69.81,,Red,DAL,Bachelors,Very Satisfied,Yes
28.0,77766.0,44.58,159.8,Black,NY,Bachelors,Very Unsatisfied,Yes
73.0,,,178.2,Green,NY,Masters,Neutral,No
76.0,71372.0,,168.1,Blue,,PhD,,No
34.0,106049.0,,177.4,Green,LA,PhD,Unsatisfied,Yes
55.0,96693.0,24.12,180.0,Red,CHI,PhD,,Yes
41.0,77414.0,21.09,164.6,Yellow,NY,Bachelors,Very Unsatisfied,No
22.0,32832.0,47.88,173.6,Black,CHI,High School,Unsatisfied,No
69.0,133413.0,57.98,,,CHI,Masters,Neutral,No
51.0,149807.0,48.6,154.4,Black,HOU,High School,Very Unsatisfied,Yes
23.0,131559.0,28.56,162.6,Red,NY,PhD,Very Unsatisfied,Yes
39.0,,63.96,169.4,Blue,NY,,,No
28.0,,38.08,158.7,Red,NY,,Satisfied,No
65.0,146609.0,81.98,158.4,,LA,Masters,Unsatisfied,No
33.0,93741.0,47.54,163.7,Yellow,DAL,Bachelors,Unsatisfied,No
50.0,25425.0,57.42,180.2,Yellow,NY,PhD,Satisfied,Yes
26.0,23900.0,66.75,,Black,HOU,Masters,Neutral,Yes
77.0,,54.05,194.6,Blue,DAL,Masters,Neutral,Yes
76.0,93998.0,49.09,166.2,Yellow,CHI,,Satisfied,Yes
23.0,140580.0,60.97,170.4,,DAL,Masters,Satisfied,Yes
33.0,146004.0,45.47,,Red,DAL,High School,Unsatisfied,Yes
46.0,,52.96,178.8,Black,HOU,Bachelors,Very Unsatisfied,No
,,47.19,,Yellow,NY,Bachelors,Very Satisfied,No
37.0,,,170.2,Yellow,HOU,High School,Satisfied,Yes
77.0,102442.0,62.51,173.5,Red,LA,,Satisfied,
76.0,,31.86,174.9,,NY,,Neutral,No
53.0,90486.0,43.08,160.0,Yellow,HOU,High School,Very Satisfied,No
36.0,55607.0,42.42,170.5,Yellow,NY,Bachelors,Very Satisfied,
43.0,132637.0,64.71,166.0,Blue,CHI,,Satisfied,Yes
,,48.03,152.7,Yellow,NY,,Very Satisfied,No
36.0,93027.0,36.08,169.8,Black,NY,Masters,Satisfied,Yes
37.0,93550.0,20.39,172.5,Black,HOU,Bachelors,Neutral,No
49.0,,67.12,185.3,Blue,NY,PhD,,No
24.0,85978.0,49.76,157.2,,DAL,Masters,Unsatisfied,Yes
69.0,42778.0,47.07,164.1,Red,NY,,Very Satisfied,Yes
58.0,77154.0,48.64,,Red,CHI,Bachelors,Very Satisfied,Yes
50.0,116415.0,,162.1,Black,CHI,Bachelors,Very Satisfied,Yes
57.0,112195.0,,159.6,Black,CHI,Bachelors,Very Satisfied,No
56.0,68788.0,21.7,175.8,Red,NY,Bachelors,Unsatisfied,No
35.0,,58.87,170.7,Blue,LA,High School,Unsatisfied,Yes
57.0,29413.0,23.28,175.9,Yellow,NY,High School,Unsatisfied,No
18.0,134113.0,60.71,172.1,Green,LA,Bachelors,Very Satisfied,Yes
28.0,97177.0,43.06,149.3,,DAL,,Neutral,No
45.0,63400.0,,173.2,Black,DAL,Bachelors,Very Unsatisfied,Yes
74.0,,62.05,,Green,NY,High School,Neutral,No
42.0,132683.0,40.58,160.8,Green,NY,Bachelors,Very Unsatisfied,No
67.0,112474.0,49.76,,Blue,HOU,High School,Very Satisfied,Yes
40.0,65463.0,53.43,153.2,Green,DAL,Bachelors,,No
48.0,20894.0,39.14,169.9,Black,CHI,High School,,Yes
47.0,130398.0,39.01,,Blue,DAL,Masters,Satisfied,No
59.0,55021.0,56.78,,Blue,CHI,Masters,Very Satisfied,No
52.0,,69.2,,Green,CHI,High School,Very Unsatisfied,Yes
24.0,116296.0,,168.0,Yellow,DAL,High School,,No
77.0,149611.0,,172.8,Blue,CHI,Bachelors,Unsatisfied,Yes
33.0,120314.0,,168.6,Red,LA,Masters,Satisfied,No
43.0,108777.0,60.14,,Yellow,NY,,Very Unsatisfied,Yes
65.0,,,158.6,Black,HOU,Bachelors,,
74.0,,54.64,172.7,Black,DAL,High School,Very Satisfied,Yes
69.0,114302.0,28.43,,Blue,HOU,PhD,Satisfied,No
77.0,106555.0,78.06,177.2,,DAL,Masters,,No
66.0,,,,,DAL,High School,Unsatisfied,No
19.0,,45.83,172.9,Blue,,Bachelors,Unsatisfied,Yes
18.0,109728.0,,162.4,Black,NY,,Very Satisfied,
,125301.0,22.37,168.8,Red,CHI,Bachelors,Satisfied,
79.0,114716.0,61.72,165.1,Yellow,NY,Masters,Satisfied,
29.0,63520.0,64.66,157.4,Yellow,DAL,Masters,Very Unsatisfied,No
22.0,129342.0,31.56,174.8,Black,CHI,High School,Very Unsatisfied,Yes
54.0,127541.0,,195.3,Blue,HOU,Bachelors,Satisfied,No
49.0,123137.0,48.89,169.3,,DAL,Bachelors,Very Satisfied,No
76.0,,55.77,,Yellow,NY,Masters,Satisfied,No
72.0,67802.0,27.55,176.8,Green,DAL,Bachelors,,Yes
26.0,121238.0,,170.0,Blue,HOU,Bachelors,Neutral,Yes
58.0,143350.0,,178.9,Blue,DAL,Bachelors,,No
52.0,98107.0,,,Blue,LA,Masters,Neutral,Yes
36.0,20371.0,42.53,185.4,Black,CHI,Bachelors,Very Satisfied,No
65.0,50193.0,,169.6,Yellow,NY,High School,,
33.0,80747.0,55.49,,Yellow,LA,Bachelors,Very Satisfied,No
20.0,100922.0,40.24,169.8,Yellow,NY,High School,Satisfied,No
37.0,125302.0,,188.9,,DAL,Bachelors,Unsatisfied,No
41.0,34464.0,,161.8,Green,DAL,,Unsatisfied,No
71.0,103323.0,31.8,148.7,Red,DAL,PhD,Neutral,Yes
73.0,106522.0,46.51,160.6,Yellow,CHI,Bachelors,Neutral,Yes
50.0,138634.0,57.18,163.3,Red,NY,Bachelors,,No
41.0,69025.0,40.08,175.4,Yellow,HOU,High School,Neutral,No
69.0,114187.0,57.84,167.6,Green,CHI,Bachelors,Very Satisfied,No
28.0,131710.0,63.87,180.1,Yellow,CHI,Bachelors,Very Satisfied,Yes
66.0,106593.0,61.13,152.4,,LA,PhD,Very Satisfied,Yes
25.0,49872.0,57.06,164.1,,HOU,Bachelors,Neutral,
53.0,,31.78,,Blue,DAL,PhD,Very Satisfied,Yes
55.0,84997.0,46.08,,Black,NY,Masters,Neutral,No
57.0,102927.0,52.99,175.9,,DAL,Bachelors,Very Unsatisfied,No
37.0,113458.0,49.24,,Red,DAL,High School,Very Unsatisfied,Yes
79.0,,61.83,169.9,Green,CHI,High School,Very Unsatisfied,No
